-44.904999, -7.358750, 6.895000; -0.897308, 0.847059, 9.375079; 0.000014, -0.000034, -0.000136;
-48.763752, 11.287500, 2.108750; -1.019342, 0.681954, 9.008977; 0.000014, -0.000034, -0.000136;
-50.505001, 4.121250, -6.851250; -0.746561, 1.945365, 9.647861; 0.000014, -0.000034, -0.000136;
-51.283749, 16.896250, 3.123750; -0.904487, 2.361716, 9.174082; 0.000016, -0.000039, -0.000135;
-47.608749, 3.500000, -1.732500; -0.768096, 2.648854, 9.310472; 0.000016, -0.000039, -0.000135;
-41.369999, 4.296250, 5.337500; -0.502493, 3.101098, 9.016155; 0.000016, -0.000039, -0.000135;
-31.430000, 11.733750, 0.717500; -0.768096, 3.108276, 8.836694; 0.000016, -0.000039, -0.000135;
-31.850000, 3.342500, 8.102500; -0.473779, 3.474378, 8.829515; 0.000016, -0.000042, -0.000133;
-31.001249, 8.977500, -7.665000; -0.279960, 4.019942, 8.334201; 0.000016, -0.000042, -0.000133;
-31.815001, 13.466250, -4.707500; -1.112663, 3.797409, 8.355737; 0.000016, -0.000042, -0.000133;
-33.459999, 13.317500, 4.795000; -0.287139, 4.558327, 8.327023; 0.000016, -0.000045, -0.000132;
-30.336250, 7.656250, -0.393750; -0.574277, 4.608576, 7.996813; 0.000016, -0.000045, -0.000132;
-26.398750, 6.772500, 1.260000; -0.215354, 5.218746, 7.889136; 0.000016, -0.000045, -0.000132;
-33.634998, 3.885000, 7.708750; -0.337388, 4.737789, 7.831708; 0.000017, -0.000048, -0.000130;
-47.608749, -5.565000, 8.662500; -0.150748, 6.338587, 7.558927; 0.000017, -0.000048, -0.000130;
-45.911251, 5.958750, -6.160000; -0.854238, 5.907879, 7.178468; 0.000017, -0.000048, -0.000130;
-42.271252, 1.452500, -7.761250; 0.014357, 6.044270, 7.393822; 0.000016, -0.000050, -0.000128;
-31.430000, 6.921250, -7.813750; -0.911665, 6.446264, 6.754938; 0.000016, -0.000050, -0.000128;
-17.482500, 6.658750, 2.187500; -0.437887, 6.905686, 6.783652; 0.000016, -0.000050, -0.000128;
-18.129999, 5.346250, -2.012500; -0.287139, 6.597012, 6.324230; 0.000016, -0.000052, -0.000127;
-22.085001, 4.348750, -0.236250; 0.100499, 6.783652, 6.051448; 0.000018, -0.000052, -0.000127;
-34.326252, 0.131250, 2.012500; -0.509671, 7.594819, 6.604190; 0.000018, -0.000052, -0.000127;
-35.507500, 6.571250, -4.830000; -0.473779, 7.436893, 5.950950; 0.000018, -0.000052, -0.000127;
-37.318748, -0.761250, -0.883750; -0.251246, 7.702496, 5.800202; 0.000015, -0.000053, -0.000124;
-37.931252, 4.987500, -3.631250; -0.294317, 7.616354, 5.161318; 0.000015, -0.000053, -0.000124;
-22.032499, 4.707500, 0.892500; -0.279960, 7.910672, 4.910072; 0.000015, -0.000053, -0.000124;
-19.538750, 7.577500, -5.600000; 0.064606, 7.810173, 5.096713; 0.000016, -0.000053, -0.000123;
-26.871250, -1.058750, 1.067500; -0.193819, 8.104490, 4.766502; 0.000016, -0.000053, -0.000123;
-32.847500, -0.280000, 2.257500; -0.215354, 8.477771, 4.536792; 0.000016, -0.000053, -0.000123;
-31.823750, 7.350000, -3.972500; -0.122034, 8.571091, 4.249653; 0.000016, -0.000055, -0.000122;
-34.973751, 8.828750, 0.735000; -0.480957, 8.441878, 3.897908; 0.000016, -0.000055, -0.000122;
-31.561251, 7.953750, 3.202500; 0.035892, 8.987442, 3.610769; 0.000016, -0.000055, -0.000122;
-28.236250, 6.256250, -0.218750; -0.480957, 8.786445, 3.359523; 0.000016, -0.000056, -0.000120;
-24.535000, 4.847500, 0.463750; 0.028714, 8.800801, 2.986243; 0.000016, -0.000056, -0.000120;
-23.896250, 6.965000, 0.962500; -0.244068, 8.800801, 2.663212; 0.000016, -0.000056, -0.000120;
-24.141251, 6.282500, 1.225000; -0.136391, 9.310472, 2.605784; 0.000016, -0.000056, -0.000120;
-20.588751, 5.845000, -0.078750; -0.323031, 8.987442, 2.498107; 0.000016, -0.000056, -0.000118;
-19.670000, 4.628750, 3.185000; -0.114855, 9.360722, 2.383251; 0.000016, -0.000056, -0.000118;
-17.841249, 5.696250, 3.718750; 0.021535, 9.145368, 2.167897; 0.000016, -0.000056, -0.000118;
-17.543751, 3.395000, 2.677500; -0.337388, 9.561719, 1.880759; 0.000016, -0.000057, -0.000117;
